codigo_municipio,internet_access_rate,labor_force_participation_rate,pct_afro_colombian,pct_age_18_29,pct_age_30_54,pct_age_55_plus,pct_female,pct_indigenous,pct_rural_disperso,pct_school_attendance,persons_per_household,poblacion_afrocolombiana,poblacion_indigena,poblacion_rural_dispersa,poblacion_total,rooms_per_household,years_schooling_promedio
05001,0.592113972008722,0.5727026463640773,0.024897042148436348,0.2522993159713863,0.46305409320051205,0.2846465908281017,0.5298828577811687,0.000872981414895904,0.008350440284446092,0.24871895547376796,2.893710920878536,59064.0,2071.0,19810.0,2372330.0,2.2341727363733646,4.274596607506143
05002,0.13344296957594268,0.4805448782790478,0.0035229274390590373,0.18609883487344314,0.4574527922860587,0.3564483728404982,0.4807091312006364,0.00011364282061480765,0.5798624921870561,0.25039331961757233,2.9152289316522895,62.0,2.0,10205.0,17599.0,1.8829681274900398,3.17134509624198
05004,0.07190160832544938,0.48235974551764027,0.019916628068550254,0.19907407407407407,0.4801587301587302,0.32076719576719576,0.4576192681797128,0.0,0.6303844372394627,0.24308002013085053,2.759020618556701,43.0,0.0,1361.0,2159.0,1.9446589446589446,3.3658536585365852
05021,0.08623087621696801,0.4726863753213368,0.003125814014066163,0.1951127819548872,0.45977443609022556,0.3451127819548872,0.5019536337587913,0.0,0.4230268299036207,0.2586304470854556,2.764450867052023,12.0,0.0,1624.0,3839.0,1.9717595944967414,3.167017913593256
05030,0.1866575083712544,0.5117654968401237,0.004660527198836732,0.23634125070538142,0.4712460883394039,0.2924126609552147,0.5062823906640319,0.0003355579583162447,0.2119234927855039,0.21365209435538407,3.0039396668167493,125.0,9.0,5684.0,26821.0,2.0328643781654474,3.498819915333608
05031,0.16454377026401112,0.49636038186157516,0.005033308660251665,0.2540163685965444,0.48355562291603515,0.2624280084874204,0.4978040957315569,9.869232667160128e-05,0.41292869479397976,0.2717693624304664,2.9627831715210355,102.0,2.0,8368.0,20265.0,2.088581518540318,3.4818539353810922
05034,0.164756741919989,0.5150133782578535,0.00589869966442953,0.23059454227318418,0.46789024980454935,0.3015152079222665,0.4815174077181208,0.0065016778523489934,0.40722000838926176,0.23160936145622651,3.02458748570495,225.0,248.0,15533.0,38144.0,2.062744778067885,3.4490470478475275
05036,0.2729995721009842,0.4907142857142857,0.0053709966182613885,0.21573604060913706,0.45346869712351945,0.33079526226734346,0.4951263178834295,0.0005967774020290431,0.4127710364034215,0.23621713316369805,2.9111498257839723,27.0,3.0,2075.0,5027.0,1.8628704241719931,3.352318145483613
05038,0.06461686283929859,0.4522226111305565,0.004666666666666667,0.24632834084629926,0.4659008288497892,0.2877708303039116,0.49266666666666664,0.0,0.7369523809523809,0.2535326643456891,3.166465621230398,49.0,0.0,7738.0,10500.0,1.876360338573156,3.2818618042226486
05040,0.07142857142857142,0.48161474330846865,0.016825265480623363,0.2990895807575587,0.48814207036079577,0.2127683488816455,0.4825541304647635,0.011515653013377465,0.47310715763342986,0.3040565966734402,3.0535751951065175,244.0,167.0,6861.0,14502.0,1.9494692144373673,3.2182134167535628
05042,0.19333448157078884,0.526383792444054,0.03036698828394211,0.23989618094178716,0.47991595600049436,0.2801878630577185,0.5030582356995176,0.0010337698139214334,0.3010854583046175,0.26074954381696536,2.8412718050228873,705.0,24.0,6990.0,23216.0,1.8787428854244,3.623183360891132
05044,0.02320887991927346,0.5028735632183908,0.0034439574201628053,0.23288973384030418,0.4935836501901141,0.2735266159695818,0.482780212899186,0.00031308703819661864,0.6897307451471509,0.24152542372881355,3.022243256034075,22.0,2.0,4406.0,6388.0,1.859375,3.4063883617963313
05045,0.35554396164070456,0.533660817661672,0.377671434488715,0.29827011629354094,0.5168355988218538,0.18489428488460527,0.5078215195339696,0.007138513602834255,0.07278639980963963,0.3245396203998559,3.1172620368315953,42854.0,810.0,8259.0,113469.0,1.9128606438676619,3.6585884845840866
05051,0.07509179201705556,0.40367590454195534,0.2700749362851383,0.23276628157928145,0.4950488764758157,0.2721848419449029,0.49697592148807485,0.03644109703678344,0.5382479363992544,0.34270928970870546,3.412857142857143,7100.0,958.0,14150.0,26289.0,1.9191367654706188,3.586704980842912
05055,0.053946967387991464,0.47442617025121997,0.008441943127962086,0.21464879852125693,0.47250462107208874,0.31284658040665436,0.4825236966824645,0.0002962085308056872,0.556872037914692,0.25431103948428685,2.971315092674316,57.0,2.0,3760.0,6752.0,1.943121693121693,3.1068862275449103
05059,0.05129434324065196,0.4613233923578751,0.001832940560356114,0.14150280898876405,0.43293539325842695,0.425561797752809,0.4993453783713014,0.0007855459544383347,0.575019638648861,0.2017592083562397,2.420418516169943,7.0,3.0,2196.0,3819.0,1.788400254939452,3.743225466982373
05079,0.26294717138103163,0.5463280534101322,0.005138860960296713,0.22736816480540425,0.48111858320908013,0.29151325198551564,0.5038094599727417,0.00044685747480840987,0.3947762361194897,0.23735731744939367,2.7663360198388096,230.0,20.0,17669.0,44757.0,2.111807408326612,3.6322387522225474
05086,0.10893246187363835,0.4899405578417924,0.39222284539166197,0.245418098510882,0.502290950744559,0.252290950744559,0.4916806879790615,0.0001869508319312021,0.6507758459525145,0.28760795340429807,3.4222648752399234,2098.0,1.0,3481.0,5349.0,1.9865556978233034,3.142884071630537
05088,0.5524184387495457,0.5634105771753605,0.01924046640285038,0.2689611523475578,0.4863147425555421,0.24472410509690015,0.5185650164660376,0.0006287598490146316,0.017561698357131443,0.27953307988556586,2.9549574071897404,9272.0,303.0,8463.0,481901.0,2.2608865880715188,4.036781798141627
05091,0.09518599562363239,0.4831168831168831,0.007451391314471999,0.22218364867210555,0.4665856622114216,0.31123068911647284,0.4787518919548259,0.0037256956572359994,0.5932006054255443,0.2457014702217792,3.2253098009763423,64.0,32.0,5095.0,8589.0,2.0304396843291994,3.3839672322995904
05093,0.07702743442870064,0.5064946018893387,0.004702921110154335,0.2423498106642104,0.48991914850066526,0.26773104083512433,0.4861893091342651,0.0017884347883685501,0.6563555673312579,0.2506287274556298,3.169751787968027,71.0,27.0,9909.0,15097.0,1.9157850190435886,3.296962804388547
05101,0.1953091684434968,0.5184217541988803,0.008176019862163434,0.2146871945259042,0.4614491691104594,0.32386363636363635,0.49993579041993064,0.010915628611788878,0.30516673087624674,0.23659437009690817,3.0801867911941296,191.0,255.0,7129.0,23361.0,2.0174806511876167,3.5038833275802554
05107,0.02305366591080877,0.46002650176678445,0.005045408678102927,0.2668900055834729,0.4983249581239531,0.23478503629257397,0.48351833165153046,0.0005045408678102926,0.5316178943827783,0.3044034350447652,2.9261811023622046,30.0,3.0,3161.0,5946.0,1.8201581027667983,3.411834319526627
05113,0.07220469681037504,0.4701429772918419,0.0036442164934539075,0.26588628762541805,0.47115384615384615,0.2629598662207358,0.4769874476987448,0.0,0.64664597111621,0.22673559822747416,3.3279132791327912,27.0,0.0,4791.0,7409.0,1.8572074107546317,3.2341961852861036
05120,0.054578211106401014,0.44100668422118694,0.022448979591836733,0.26854909360469037,0.4949794460543163,0.23647146034099334,0.4786848072562358,0.06326530612244897,0.3437641723356009,0.39060913705583755,3.439557545430603,594.0,1674.0,9096.0,26460.0,1.7915678524374177,3.3546983870346847
05125,0.04241071428571429,0.4935088681660267,0.002279851809632374,0.2585290208241028,0.4964554718653079,0.24501550731058927,0.4961527500712454,0.00014249073810202338,0.7848389854659447,0.2652396463471382,3.0553135888501743,16.0,1.0,5508.0,7018.0,1.775762936753649,3.128411376041367
05129,0.5750866094291309,0.5519760876785121,0.005350118017309205,0.23498275449919748,0.47128026500017073,0.29373698050063174,0.5202334120115395,0.0006425386834513506,0.06076580120639916,0.23111643587528907,3.103897695701912,408.0,49.0,4634.0,76260.0,2.162169919632606,3.8818733761068986
05134,0.055537617048756864,0.47826822256046,0.002960172228202368,0.24065672931518686,0.474400518470512,0.28494275221430115,0.4839881593110872,0.0,0.6167922497308934,0.2698088428425507,3.347806422433288,22.0,0.0,4584.0,7432.0,1.9542779538252604,3.2759651984774334
05138,0.07205525480679485,0.47291721534544817,0.0033100404560500183,0.2204001311905543,0.4479064174046135,0.3316934514048322,0.49378447958808386,0.0002206693637366679,0.5783008458992277,0.24924567254248053,3.069714803078316,45.0,3.0,7862.0,13595.0,1.866877971473851,3.4234053612534345
05142,0.09471680152308425,0.5239377618192699,0.003024955886059995,0.1870031109574836,0.4296577946768061,0.38333909436571034,0.49407612805646584,0.0,0.38416939752961937,0.21880894637564,2.6366666666666667,12.0,0.0,1524.0,3967.0,1.9607190412782955,3.4443314692425013
05145,0.07755298651252408,0.4704391891891892,0.0035137034434293743,0.16994517897452435,0.4633989035794905,0.3666559174459852,0.4968376669009136,0.00023424689622862497,0.47880065589130943,0.2099039172209904,2.7975098296199215,15.0,1.0,2044.0,4269.0,1.8518762343647137,3.1718196837384944
05147,0.16598704725353802,0.48017919026286876,0.2475400557297109,0.3053246706108671,0.5168233457950709,0.17785198359406193,0.499542842215256,0.0014803204458376871,0.16708028561476837,0.33659139967500185,3.229025589849597,11371.0,68.0,7675.0,45936.0,1.887508035140347,3.4620874219446924
05148,0.30283074953125716,0.567190382008489,0.0028916198632041373,0.25941765000923944,0.4936247723132969,0.24695757767746362,0.5048657065005839,0.0005190086933956144,0.36236074811395946,0.24271123863795974,3.1706393801384043,156.0,28.0,19549.0,53949.0,2.1070689145223307,3.6114627154610774
05150,0.1700404858299595,0.4795847750865052,0.01136703559676937,0.17394726485635575,0.4478551751279024,0.37819756001574184,0.5076278791504637,0.0023930601256356566,0.20969189350882442,0.22767574414186192,2.5597532767925983,38.0,8.0,701.0,3343.0,1.890894819466248,3.8145454545454545
05154,0.20043110486952545,0.510850675103605,0.040629389614835275,0.274581818873813,0.4964128717958477,0.2290053093303393,0.515728838367742,0.012712914763270654,0.058158338940236316,0.32040025570442654,3.336322338534466,3442.0,1077.0,4927.0,84717.0,1.9040911074957343,3.5926848453067644
05172,0.1870878699585953,0.4963296668114981,0.4955006838960478,0.2971212752037114,0.5017843335514185,0.20109439124487005,0.5161075516521488,0.03995392700309553,0.13980274998200273,0.35334371980199974,3.2822118508891123,27532.0,2220.0,7768.0,55564.0,1.9612628087425221,3.523010119728929
05190,0.21077935222672065,0.4650854644229495,0.012345679012345678,0.2035288655006965,0.44466800804828976,0.35180312645101375,0.5207631874298541,0.0006734006734006734,0.135016835016835,0.2322820482072191,2.7723729342064236,110.0,6.0,1203.0,8910.0,2.0031191515907674,3.4780095216504194
05197,0.05537993209226086,0.46378244746600744,0.005765448009224717,0.2085625687706312,0.4468340502150645,0.34460338101430427,0.5060028488096046,0.0,0.5612833208980533,0.25272620100206306,2.8784259984338294,85.0,0.0,8275.0,14743.0,1.8813492841733672,3.2716699733187387
05206,0.06270996640537514,0.49150485436893204,0.003048780487804878,0.18436733263231686,0.44654749386610587,0.36908517350157727,0.48602642276422764,0.0,0.5492886178861789,0.21606118546845124,2.7784900284900287,12.0,0.0,2162.0,3936.0,1.9479686386315038,3.2740569668976134
05209,0.0920708684286959,0.4606823130897653,0.0037899968934451693,0.21418997408631937,0.46510588866053076,0.32070413725314983,0.5015843429636533,0.0,0.5345138241689966,0.2230110808838166,3.024477499529279,61.0,0.0,8603.0,16095.0,1.9330062275901114,3.6121489468405215
